Site Occupation Location,Site Component,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
CHLoc1,CH-AZ-1,B,AZ,8,1150,1520,185,6.1,70
CHLoc10,CH-AZ-10,A,AZ,8,1150,1520,185,1.1,15
CHLoc100,CH-AZ-100,B,AZ,8,1150,1520,185,1.2,10
CHLoc101,CH-AZ-101,A,AZ,8,1150,1520,185,0.8,10
CHLoc102,CH-AZ-102,B,AZ,8,1150,1520,370,7.3,70
CHLoc103,CH-AZ-103,B,AZ,8,1150,1520,185,23.8,240
CHLoc104,CH-AZ-104,B,AZ,8,1150,1520,185,2.8,30
CHLoc105,CH-AZ-105,A,AZ,8,1150,1520,185,2.9,30
CHLoc106,CH-AZ-106,B,AZ,8,1150,1520,185,2.6,30
CHLoc107,CH-AZ-107,A,AZ,8,1150,1520,185,9.8,100
CHLoc100,CH-AZ-108,B,AZ,8,1150,1520,185,7.5,150
CHLoc109,CH-AZ-109,B,AZ,8,1150,1520,185,8.3,80
CHLoc11,CH-AZ-11,A,AZ,8,1150,1520,185,0.2,10
CHLoc110,CH-AZ-110,A,AZ,8,1150,1520,185,0.8,10
CHLoc111,CH-AZ-111,B,AZ,8,1150,1520,185,32,320
CHLoc112,CH-AZ-112,B,AZ,8,1150,1520,185,1,15
CHLoc113,CH-AZ-113,A,AZ,8,1150,1520,185,0.2,10
CHLoc114,CH-AZ-114,A,AZ,8,1150,1520,370,2.6,20
CHLoc115,CH-AZ-115,A,AZ,8,1150,1520,185,1,10
CHLoc116,CH-AZ-116,A,AZ,8,1150,1520,185,2.2,20
CHLoc117,CH-AZ-117,A,AZ,8,1150,1520,185,0.7,10
CHLoc118,CH-AZ-118,A,AZ,8,1150,1520,185,0.7,10
CHLoc119,CH-AZ-119,A,AZ,8,1150,1520,185,0.8,15
CHLoc12,CH-AZ-12,A,AZ,8,1150,1520,370,0.7,10
CHLoc120,CH-AZ-120,A,AZ,8,1150,1520,185,21,200
CHLoc121,CH-AZ-121,A,AZ,8,1150,1520,185,0.4,10
CHLoc122,CH-AZ-122,A,AZ,8,1150,1520,185,0.4,10
CHLoc123,CH-AZ-123,A,AZ,8,1150,1520,185,0.4,10
CHLoc124,CH-AZ-124,A,AZ,8,1150,1520,185,0.3,10
CHLoc125,CH-AZ-125,A,AZ,8,1150,1520,185,0.6,10
CHLoc126,CH-AZ-126,A,AZ,8,1150,1520,185,6.7,70
CHLoc127,CH-AZ-127,A,AZ,8,1150,1520,370,65.3,700
CHLoc128,CH-AZ-128,A,AZ,8,1150,1520,185,21,200
CHLoc129,CH-AZ-129,A,AZ,8,1150,1520,185,8.1,100
CHLoc13,CH-AZ-13,A,AZ,8,1150,1520,370,1.3,20
CHLoc130,CH-AZ-130,A,AZ,8,1150,1520,185,19.7,200
CHLoc131,CH-AZ-131,A,AZ,8,1150,1520,185,13.4,150
CHLoc132,CH-AZ-132,A,AZ,8,1150,1520,185,6.9,100
CHLoc133,CH-AZ-133,A,AZ,8,1150,1520,185,0.6,10
CHLoc134,CH-AZ-134,A,AZ,8,1150,1520,185,1.3,10
CHLoc135,CH-AZ-135,A,AZ,8,1150,1520,185,0.7,10
CHLoc136,CH-AZ-136,A,AZ,8,1150,1520,185,0.5,10
CHLoc137,CH-AZ-137,B,AZ,8,1150,1520,185,3.1,30
CHLoc138,CH-AZ-138,A,AZ,8,1150,1520,185,4.1,50
CHLoc139,CH-AZ-139,A,AZ,8,1150,1520,185,4.9,50
CHLoc14,CH-AZ-14,A,AZ,8,1150,1520,370,2.5,40
CHLoc140,CH-AZ-140,A,AZ,8,1150,1520,185,11.2,100
CHLoc141,CH-AZ-141,A,AZ,8,1150,1520,185,2.1,30
CHLoc142,CH-AZ-142,A,AZ,8,1150,1520,185,0.6,10
CHLoc143,CH-AZ-143,A,AZ,8,1150,1520,185,0.6,10
CHLoc144,CH-AZ-144,A,AZ,8,1150,1520,185,6,60
CHLoc145,CH-AZ-145,A,AZ,8,1150,1520,185,2.9,30
CHLoc146,CH-AZ-146,A,AZ,8,1150,1520,185,0.6,10
CHLoc147,CH-AZ-147,A,AZ,8,1150,1520,185,0.3,10
CHLoc148,CH-AZ-148,A,AZ,8,1150,1520,185,10.2,100
CHLoc149,CH-AZ-149,A,AZ,8,1150,1520,185,0.8,10
CHLoc15,CH-AZ-15,C,AZ,8,1150,1520,185,13.9,140
CHLoc150,CH-AZ-150,A,AZ,8,1150,1520,185,0.3,20
CHLoc151,CH-AZ-151,A,AZ,8,1150,1520,185,6.2,50
CHLoc152,CH-AZ-152,A,AZ,8,1150,1520,185,6.9,70
CHLoc153,CH-AZ-153,A,AZ,8,1150,1520,185,3.8,40
