Site Occupation Location,Toponyms,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area
1,Padiglione,A,Early Iron Age,4,-800,-750,50,0.2
1,Padiglione,A,Late Iron Age,5,-750,-700,50,0.2
1,Padiglione,B,Republican Period,7,-100,-30,70,0.2
1,Padiglione,B,Early Imperial Period,8,-30,100,130,0.2
1,Padiglione,B,Mid-Imperial Period,9,100,300,200,0.2
1,Padiglione,B,Late Imperial Period,10,300,500,200,0.2
2,Astura,A,Late Iron Age,5,-700,-580,120,34
2,Astura,A,Archaic Period,6,-580,-350,230,34
2,Astura,B,Republican Period,7,-250,-30,220,34
2,Astura,B,Early Imperial Period,8,-30,100,130,34
2,Astura,B,Mid-Imperial Period,9,100,300,200,34
2,Astura,B,Late Imperial Period,10,300,500,200,34
2,Astura,B,Late Antique Period,11,500,1200,700,34
3,Torre Astura,A,Middle Bronze Age,2,-1700,-1350,350,4
3,Torre Astura,B,Late Iron Age,5,-600,-580,20,4
3,Torre Astura,B,Archaic Period,6,-580,-500,80,4
3,Torre Astura,C,Republican Period,7,-350,-30,320,4
3,Torre Astura,C,Early Imperial Period,8,-30,100,130,4
3,Torre Astura,C,Mid-Imperial Period,9,100,300,200,4
3,Torre Astura,C,Late Imperial Period,10,300,500,200,4
3,Torre Astura,C,Late Antique Period,11,500,1200,700,4
4,Pineta di Torre Astura,A,Republican Period,7,-350,-30,320,0.5
4,Pineta di Torre Astura,A,Early Imperial Period,8,-30,100,130,0.5
4,Pineta di Torre Astura,A,Mid-Imperial Period,9,100,300,200,0.5
4,Pineta di Torre Astura,A,Late Imperial Period,10,300,400,100,0.5
5,Pineta di Torre Astura,A,Republican Period,7,-250,-30,220,0.5
5,Pineta di Torre Astura,A,Early Imperial Period,8,-30,100,130,0.5
5,Pineta di Torre Astura,A,Mid-Imperial Period,9,100,300,200,0.5
5,Pineta di Torre Astura,A,Late Imperial Period,10,300,400,100,0.5
6,La Banca,A,Republican Period,7,-100,-30,70,0.5
6,La Banca,A,Early Imperial Period,8,-30,100,130,0.5
7,La Banca,A,Middle Bronze Age,2,-1700,-1350,350,0.30000001
8,Saracca,A,Republican Period,7,-100,-30,70,0.5
8,Saracca,A,Early Imperial Period,8,-30,100,130,0.5
8,Saracca,A,Mid-Imperial Period,9,100,300,200,0.5
8,Saracca,A,Late Imperial Period,10,300,400,100,0.5
9,Saracca,A,Early Imperial Period,8,-30,100,130,0.5
9,Saracca,A,Mid-Imperial Period,9,100,300,200,0.5
9,Saracca,A,Late Imperial Period,10,300,400,100,0.5
10,Saracca,A,Middle Bronze Age,2,-1350,-1300,50,0.1
10,Saracca,A,Late Bronze Age,3,-1300,-1020,280,0.1
10,Saracca,B,Republican Period,7,-100,-30,70,0.1
10,Saracca,B,Early Imperial Period,8,-30,100,130,0.1
10,Saracca,B,Mid-Imperial Period,9,100,250,150,0.1
11,Pelliccione,A,Republican Period,7,-350,-30,320,0.1
11,Pelliccione,A,Early Imperial Period,8,-30,100,130,0.1
11,Pelliccione,A,Mid-Imperial Period,9,100,300,200,0.1
11,Pelliccione,A,Late Imperial Period,10,300,400,100,0.1
12,Pelliccione,A,Middle Bronze Age,2,-1700,-1300,400,0.01
12,Pelliccione,A,Late Bronze Age,3,-1300,-1020,280,0.01
12,Pelliccione,B,Republican Period,7,-350,-30,320,0.01
12,Pelliccione,B,Early Imperial Period,8,-30,100,130,0.01
12,Pelliccione,B,Mid-Imperial Period,9,100,300,200,0.01
12,Pelliccione,B,Late Imperial Period,10,300,400,100,0.01
13,Pelliccione,A,Republican Period,7,-100,-30,70,0.30000001
13,Pelliccione,A,Early Imperial Period,8,-30,100,130,0.30000001
14,Le Grottace,A,Middle Bronze Age,2,-1350,-1300,50,0.5
14,Le Grottace,A,Late Bronze Age,3,-1300,-1020,280,0.5
14,Le Grottace,B,Republican Period,7,-250,-30,220,0.5
14,Le Grottace,B,Early Imperial Period,8,-30,100,130,0.5
14,Le Grottace,B,Mid-Imperial Period,9,100,250,150,0.5
15,Pelliccione,A,Republican Period,7,-250,-30,220,0.30000001
16,Pelliccione,A,Republican Period,7,-350,-30,320,0.30000001
16,Pelliccione,A,Early Imperial Period,8,-30,100,130,0.30000001
16,Pelliccione,A,Mid-Imperial Period,9,100,300,200,0.30000001
