Region,Estimated Total Span
Santa Valley,50
Santa Valley,400
Santa Valley,400
Santa Valley,123.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,400
Santa Valley,50
Santa Valley,400
Santa Valley,400
Santa Valley,123.333333
Santa Valley,400
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,400
Santa Valley,133.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,400
Santa Valley,50
Santa Valley,123.333333
Santa Valley,50
Santa Valley,400
Santa Valley,50
Santa Valley,50
Santa Valley,133.333333
Santa Valley,50
Santa Valley,123.333333
Santa Valley,400
Santa Valley,400
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,50
Santa Valley,400
Santa Valley,400
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,400
Santa Valley,66.6666667
Santa Valley,400
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,400
Santa Valley,400
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,133.333333
Santa Valley,123.333333
Santa Valley,150
Santa Valley,144
Santa Valley,400
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,50
Santa Valley,50
Santa Valley,400
Santa Valley,50
Santa Valley,400
Santa Valley,50
Santa Valley,150
Santa Valley,400
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,400
Santa Valley,200
Santa Valley,144
Santa Valley,150
Santa Valley,400
Santa Valley,50
Santa Valley,50
Santa Valley,116.666667
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,200
Santa Valley,116.666667
Santa Valley,50
Santa Valley,50
Santa Valley,133.333333
Santa Valley,50
Santa Valley,50
Santa Valley,200
Santa Valley,457.34
Santa Valley,50
Santa Valley,200
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,283.333333
Santa Valley,50
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,200
Santa Valley,123.333333
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,66.6666667
Santa Valley,116.666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,133.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,200
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,150
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,133.333333
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,66.6666667
Santa Valley,123.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,20.6666667
Santa Valley,150
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,20.6666667
Santa Valley,20.6666667
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,20.6666667
Santa Valley,133.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,200
Santa Valley,123.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,133.333333
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,133.333333
Santa Valley,116.666667
Santa Valley,20.6666667
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,50
Santa Valley,133.333333
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,373.333333
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,133.333333
Santa Valley,150
Santa Valley,66.6666667
Santa Valley,200
Santa Valley,50
Santa Valley,133.333333
Santa Valley,50
Santa Valley,133.333333
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,190
Santa Valley,50
Santa Valley,144
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,133.333333
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,283.333333
Santa Valley,433.333333
Santa Valley,50
Santa Valley,433.333333
Santa Valley,133.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,400
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,566.666667
Santa Valley,200
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,433.333333
Santa Valley,20.6666667
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,116.666667
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,150
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,900
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,283.333333
Santa Valley,150
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,66.6666667
Santa Valley,133.333333
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,150
Santa Valley,433.333333
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,200
Santa Valley,50
Santa Valley,50
Santa Valley,433.333333
Santa Valley,50
Santa Valley,133.333333
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,150
Santa Valley,123.333333
Santa Valley,20.6666667
Santa Valley,20.6666667
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,150
Santa Valley,50
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,1166.67
Santa Valley,433.333333
Santa Valley,50
Santa Valley,144
Santa Valley,50
Santa Valley,50
Santa Valley,200
Santa Valley,66.6666667
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,150
Santa Valley,150
Santa Valley,50
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,433.333333
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,66.6666667
Santa Valley,150
Santa Valley,433.333333
Santa Valley,150
Santa Valley,150
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,433.333333
Santa Valley,50
Santa Valley,50
Santa Valley,150
Santa Valley,150
Santa Valley,50
Santa Valley,150
Santa Valley,283.333333
Santa Valley,150
