Site Occupation Location,Site Component,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
1,SVP-ETAN-335,A,Early Tanguche,7,750,900,50,1,50
2,SVP-SAL-13,A,Las Salinas,1,-3000,-1800,400,0.5,15
3,SVP-SAL-14,A,Las Salinas,1,-3000,-1800,400,0.5,15
4,SVP-ETR-42,A,Early Tambo Real,9,1100,1470,123.3333333,10.8,2700
5,SVP-ETAN-390,A,Early Tanguche,7,750,900,50,0.5,25
6,SVP-ETAN-334,A,Early Tanguche,7,750,900,50,0.5,25
7,SVP-ETAN-389,A,Early Tanguche,7,750,900,50,0.5,25
8,SVP-ETAN-258,A,Early Tanguche,7,750,900,50,0.5,25
9,SVP-ETAN-259,A,Early Tanguche,7,750,900,50,0.5,25
10,SVP-ETAN-255,A,Early Tanguche,7,750,900,50,0.5,25
11,SVP-ETAN-256,A,Early Tanguche,7,750,900,50,0.5,25
12,SVP-ETAN-257,A,Early Tanguche,7,750,900,50,0.5,25
13,SVP-ETAN-260,A,Early Tanguche,7,750,900,50,0.5,25
14,SVP-ETAN-388,A,Early Tanguche,7,750,900,50,0.5,25
15,SVP-ETAN-387,A,Early Tanguche,7,750,900,50,1,50
16,SVP-ETAN-261,A,Early Tanguche,7,750,900,50,1,50
17,SVP-ETAN-254,A,Early Tanguche,7,750,900,50,0.5,25
18,SVP-ETAN-333,A,Early Tanguche,7,750,900,50,0.5,25
19,SVP-ETAN-252,A,Early Tanguche,7,750,900,50,1.25,60
20,SVP-ETAN-253,A,Early Tanguche,7,750,900,50,0.5,25
21,SVP-ETAN-194,A,Early Tanguche,7,750,900,50,4.5,450
21,SVP-ETR-41,B,Early Tambo Real,9,1100,1470,123.3333333,4.3,215
22,SVP-ETAN-262,A,Early Tanguche,7,750,900,50,0.5,25
23,SVP-ETAN-263,A,Early Tanguche,7,750,900,50,0.75,40
24,SVP-ETAN-264,A,Early Tanguche,7,750,900,50,0.5,25
25,SVP-ETAN-265,A,Early Tanguche,7,750,900,50,1,50
26,SVP-ETAN-386,A,Early Tanguche,7,750,900,50,1.5,75
27,SVP-ETR-40,A,Early Tambo Real,9,1100,1470,123.3333333,0.5,25
28,SVP-ETAN-332,A,Early Tanguche,7,750,900,50,0.5,25
29,SVP-ETAN-184,A,Early Tanguche,7,750,900,50,1.4,70
30,SVP-ETAN-385,A,Early Tanguche,7,750,900,50,0.25,10
31,SVP-ETAN-266,A,Early Tanguche,7,750,900,50,0.5,25
32,SVP-ETAN-382,A,Early Tanguche,7,750,900,50,1,50
33,SVP-ETR-39,A,Early Tambo Real,9,1100,1470,123.3333333,1.4,70
34,SVP-LTR-74,A,Late Tambo Real,10,1470,1532,20.66666667,0.75,75
35,SVP-ETAN-383,A,Early Tanguche,7,750,900,50,0.5,25
36,SVP-ETAN-384,A,Early Tanguche,7,750,900,50,0.25,10
37,SVP-ETAN-331,A,Early Tanguche,7,750,900,50,0.5,25
38,SVP-ETAN-380,A,Early Tanguche,7,750,900,50,0.5,25
39,SVP-SAL-36,A,Las Salinas,1,-3000,-1800,400,0.2,5
40,SVP-ETAN-381,A,Early Tanguche,7,750,900,50,1,50
41,SVP-SAL-19,A,Las Salinas,1,-3000,-1800,400,0.5,15
42,SVP-SAL-18,A,Las Salinas,1,-3000,-1800,400,0.5,15
