Site Occupation Location,Toponym,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Mound Count
1BA1,BEAR POINT,A,Bear Point,,1550,1700,60,1
1BA18,BEAR POINT,A,Pensacola,,1200,1700,200,1
1BA18,BEAR POINT,A,Bear Point,,1550,1700,60,1
1BA2,BOTTLE CREEK,A,Andrews Place,,1100,1250,60,18
1BA2,BOTTLE CREEK,A,Bottle Creek,,1250,1550,,18
1BA2,BOTTLE CREEK,A,Bottle Creek I,,1250,1400,150,18
1BA2,BOTTLE CREEK,A,Bottle Creek II,,1400,1550,60,18
1BA2,BOTTLE CREEK,A,Bear Point,,1550,1700,60,18
1BA212,LIVE OAK LANDING PARK,A,Bottle Creek,,1250,1550,120,2
1BA365,CROSSROADS MOUNDS,A,Bottle Creek,,1250,1550,120,6
1BA381,Cut Off Mound,A,Late Mississippian,,1400,1600,80,1
1BA382,UNNAMED,A,Pensacola,,1200,1700,200,1
1BA462,Pine Log Creek,A,Gin House Complex,,1550,1700,60,6
1BA55,UNNAMED,A,Late Mississippian,,1400,1600,80,2
1BB64,UNNAMED,A,Moundville I,,1050,1250,80,1
1BB64,UNNAMED,A,Moundville II,,1250,1400,150,1
1BB64,UNNAMED,A,Moundville III,,1400,1520,48,1
1BR14,Lampey Mound,A,Bull Creek,,1450,1550,40,1
1BR15,Shorter,A,Bull Creek,,1450,1550,40,1
1BR8,UNNAMED,A,Bull Creek,,1450,1550,40,2
1CA196,Davis Farm/Oxford Mound,A,Etowah,,1000,1150,60,1
1CA196,Davis Farm/Oxford Mound,B,Barnett,,1450,1550,40,1
1CA421,Blue Hole West,A,Cane Creek,,900,1000,40,1
1CE200,Coker Ford,A,Coker,,900,1000,40,2
1CK20,Peavey's Landing,A,Bottle Creek,,1250,1550,120,2
1CK216,Hooks Plantation,A,Bear Point,,1550,1700,60,1
1CK217,Douglas/Burnt Cypress,A,Bear Point,,1550,1700,60,3
1CK32,Old Levee,A,Bear Point,,1550,1700,60,1
1CO3,JACK HOLLEY,A,Bull Creek,,1450,1550,40,1
1CV32,MITCHELL,A,Pensacola,,1200,1700,200,2
1DS172,Cedar Creek/R. Buster,A,Cedar Creek,,1050,1300,100,1
1DS172,Cedar Creek/R. Buster,B,Alabama River,,1550,1700,60,1
1DS32,Old Cahaba,A,Furman,,1450,1600,60,1
1EE1,Taskigi,A,Alabama River,,1550,1700,60,1
1EE32,Tukabatchee,A,Shine II,,1400,1550,60,2
1EE32,Tukabatchee,B,Atasi,,1600,1715,46,2
1EE82,Jackson Lake,A,Shine II,,1400,1550,60,1
1EE84,KOASATI/Rives,A,Shine II,,1400,1550,60,1
1GR14,STEPHENS BLUFF,A,Moundville I,,1050,1250,80,1
1GR14,STEPHENS BLUFF,A,Early Moundville II,,1250,1325,75,1
1GR14,STEPHENS BLUFF,B,Late Moundville III,,1450,1520,70,1
1GR14,STEPHENS BLUFF,B,Moundville IV,,1520,1650,52,1
1HA1,Cook,A,Moundville II,,1250,1400,60,1
1HA14,TAYLOR/Touson's Lake,A,Late Moundville II,,1325,1400,75,1
1HA14,TAYLOR/Touson's Lake,A,Moundville III,,1400,1520,48,1
1HA7,WHITE,A,Moundville III,,1400,1520,48,1
1HE102,Purcells Landing,A,Rood,,1100,1400,120,2
1HE102,Purcells Landing,B,Bull Creek,,1450,1550,40,2
1HE21,UNNAMED,A,Rood,,1100,1400,120,1
1HE79,FALSE MOORE,A,Rood,,1100,1400,120,1
1HO101,SEABORN/Omussee Creek/Crawford,A,Bull Creek,,1450,1550,40,1
1HO40,KING,A,Rood II,,1200,1300,40,2
1HO40,KING,B,Bull Creek,,1450,1550,40,2
1JA101,SNODGRASS,A,Langston,,1000,1200,80,2
1JA101,SNODGRASS,A,Henry Island,,1200,1400,80,2
1JA176,COX,A,Langston,,1000,1200,80,1
1JA176,COX,B,Crow Creek,,1400,1600,80,1
1JA180,RUDDER,A,Henry Island,,1200,1400,80,2
1JA28,Sauty - Riley (1JA28A),A,Langston,,1000,1200,80,1
1JA28,Sauty - Riley (1JA28A),A,Henry Island,,1200,1400,80,1
1JA5000,Widow's Creek,A,Hamilton Burial Complex,,700,1000,120,2
1JA5001,Williams Landing,A,Hamilton Burial Complex,,700,1000,120,3
1JA5002,no name,A,Hamilton Burial Complex,,700,1000,120,1
1JA9,LANGSTON MOUND,A,Langston,,1000,1200,80,1
1JE12,BESSEMER,A,Late West Jefferson,,975,1050,75,3
1JE12,BESSEMER,A,Moundville I,,1050,1250,,3
1JE12,BESSEMER,A,Early Moundville I,,1050,1150,100,3
1JE12,BESSEMER,A,Late Moundville I,,1150,1250,40,3
1JE497,no name,A,Emergent Mississippian,,900,1000,40,2
