Site,Begin,End,Estimated.Total.Span,Peak.Pop
111 Ranch,1275,1450,175,66
26LN102,1100,1250,150,
26LN103,1100,1250,150,
26LN113,1100,1250,150,
26LN141,1100,1250,150,
26LN148,1100,1250,150,
26LN157,1100,1200,100,
26LN1775,1100,1250,150,
26LN367,1100,1250,150,1
26LN370,1100,1250,150,
26LN372,1100,1250,150,1
26LN374,1100,1250,150,
26LN412,1100,1250,150,
26WP12,1100,1250,150,13
26WP6,1100,1250,150,5
26WP7,1100,1250,150,5
26WP8,1100,1250,150,
29MC146,900,1150,250,
29MC215,600,850,250,
29MC218,1000,1100,100,
29MC220,1000,1150,150,
29MC221,1000,1150,150,
29MC224,550,850,300,
29MC231,550,1100,550,
29MC232,1000,1250,250,
29MC233,600,850,250,
29MC234,550,850,300,
29MC235,850,1150,300,
29MC242,550,850,300,
29MC243,1000,1150,150,
29MC244,875,1100,225,
29MC249,875,1050,175,
29MC250,1050,1175,125,
29MC254,1000,1150,150,
29MC257,1050,1150,100,
29MC261,600,1050,450,
29MC262,550,850,300,
29MC263,550,850,300,
29MC264,875,1100,225,
29MC266,550,850,300,
29MC269,950,1150,200,
29MC271,550,850,300,
29MC272,700,1050,350,
29MC273,875,1050,175,
29MC275,875,1050,175,
29MC276,875,1050,175,
29MC277,550,850,300,
29MC282,550,850,300,
29MC283,600,850,250,
29MC288,550,850,300,
29MC289,900,1150,250,
29MC291,900,1150,250,
29MC292,1000,1150,150,
29MC293,1000,1150,150,
29MC295,1050,1150,100,
29MC299,1050,1150,100,
29MC300,950,1150,200,
29MC301,1000,1150,150,
29MC305,900,1150,250,
29MC306,1000,1150,150,
29MC307,875,1150,275,
29MC308,1050,1150,100,
29MC309,1000,1150,150,
29MC317,700,1025,325,
29MC319,550,850,300,
29MC322,875,1050,175,
29MC324,1050,1150,100,
29MC334,550,1050,500,
29MC336,875,1150,275,
29MC341,1050,1250,200,
29MC345,875,1150,275,
29SJ1579,950,1150,200,
29SJ2404,1050,1200,150,
29SJ2406,1050,1150,100,
29SJ2408,1050,1275,225,
29SJ2409,1050,1150,100,
29SJ2412,1050,1150,100,
29SJ2413,875,1100,225,
29SJ2417,950,1150,200,
29SJ2421,1025,1175,150,
29SJ2422,900,1275,375,
29SJ2424,950,1125,175,
29SJ2427,1000,1150,150,
29SJ2431,950,1150,200,
29SJ2437,1050,1150,100,
29SJ2438,1050,1275,225,
29SJ2439,875,1050,175,
29SJ2441,550,1025,475,
29SJ2442,850,1025,175,
29SJ2443,600,850,250,
29SJ2445,1050,1150,100,
29SJ2451,1000,1150,150,
29SJ2452,1000,1150,150,
29SJ2453,1000,1150,150,
29SJ2454,975,1150,175,
29SJ2457,600,850,250,
29SJ2458,1000,1225,225,
29SJ2465,1050,1150,100,
29SJ2470,1050,1150,100,
29SJ2479,550,850,300,
29SJ2483,1050,1100,50,
29SJ2484,1000,1150,150,
29SJ2488,1050,1250,200,
29SJ2489,900,1100,200,
29SJ2490,550,1125,575,
29SJ2491,900,1275,375,
29SJ2502,1050,1150,100,
29SJ2506,1025,1125,100,
29SJ2508,1050,1150,100,
29SJ2521,900,1150,250,
29SJ2522,875,1150,275,
29SJ2523,875,1025,150,
29SJ2524,550,1150,600,
29SJ2525,550,1150,600,
29SJ2526,550,850,300,
29SJ2528,1000,1150,150,
29SJ2529,875,1050,175,
29SJ2530,875,1150,275,
29SJ2531,1050,1150,100,
29SJ2757,1050,1150,100,
29SJ341,900,1175,275,
29SJ342,875,1050,175,
29SJ343,950,1150,200,
29SJ344,1050,1150,100,
29SJ346,875,1050,175,
29SJ347,1000,1125,125,
29SJ348,875,1150,275,
34-plex Complex,975,1250,275,4
3-Up,1275,1450,175,500
41CU1,750,1550,800,1
41CU2,1175,1350,175,1
41CU237,1175,1400,225,1
41CU3,1175,1350,175,1
41CU4,1175,1450,275,1
41CU5,1175,1450,275,1
41CU6,1175,1450,275,1
41CU8,1200,1450,250,1
41EP1039,1000,1100,100,3
41EP1046,1000,1350,350,3
41EP1081,1000,1350,350,3
41EP1618,1000,1350,350,13
41EP1647,1350,1450,100,6
41EP1661,1000,1350,350,3
41EP28,1100,1350,250,
41EP4719,1000,1350,350,5
41EP5375,1175,1350,175,3
41EP823,1000,1350,350,3
41HZ335,1200,1550,350,9
41HZ336,1025,1350,325,5
42BE12,1100,1250,150,
42Be743,1100,1250,150,
42Em4,1100,1250,150,
42Ga43,1000,1100,100,
42GA4431,1100,1250,150,2
42In218,1100,1250,150,
42Jb1,1100,1250,150,
42Ka173,1050,1250,200,
42KA254,1025,1175,150,
42MD139,1100,1250,150,
42MD176,1100,1250,150,
42Md973,1100,1250,150,
42Wn297,1050,1225,175,
42Wn959,1100,1250,150,
42Ws126,1050,1225,175,
5 Acre Ruin,1050,1250,200,100
51 Ranch Site,1325,1375,50,40
76 Draw,1200,1450,250,50
A-100,1050,1900,850,
A-102,800,1900,1100,
A-104,1050,1900,850,
A-105,1050,1900,850,
A-107,1000,1450,450,
A-111,800,1900,1100,
A-113,1500,1900,400,
A-115,1050,1500,450,
A-120,1500,1900,400,
A-128,1050,1900,850,
A-129,800,1900,1100,
A-130,1050,1900,850,
A-31,800,1900,1100,
A-36,1050,1900,850,
A-38,1050,1900,850,
A-40,800,1900,1100,
A-41,800,1000,200,
A-42,800,1000,200,
A-44,800,1000,200,
A-46,1500,1900,400,
A-51,1550,1900,350,
A-52,1500,1900,400,
A-53,800,1900,1100,
A-54,800,1900,1100,
A-56,1550,1900,350,
A-63,1500,1900,400,
Abajo Confluence,1050,1700,650,50
Abajo de Piedres Negras,1100,1400,300,50
Abangkuyivi,1150,1275,125,50
Abeytas Pueblo,1325,1500,175,250
Abiquiu,1350,1550,200,150
Achiya: deyata,1200,1450,250,5
Acoma,1200,1400,200,2500
Adobe Hill,1325,1450,125,25
Adobe Pueblo,1300,1375,75,15
Agawano,1350,1450,100,50
Agawi,1350,1450,100,50
Agua Fria School House,1200,1425,225,200
Alameda School,1325,1500,175,600
Alamo Hueco,1200,1450,250,250
Albert Porter,975,1250,275,80
Alfred Herrera,1325,1500,175,100
Alice Hunt,1125,1225,100,1
Alkali Canyon Ruin,825,1225,400,30
Alkali Seep Ruin,1200,1375,175,20
Allentown,600,1300,700,110
Alvey Site,1075,1175,100,
Amos Spring Pueblo,1150,1450,300,70
Andrews,850,1150,300,22
Andrews Great Kiva NM,875,1050,175,2
Animas River Ruin,1050,1275,225,30
Anna Shepherd's dig,875,1150,275,5
Ansell Hall,975,1175,200,200
Antelope House,875,1250,375,100
Apache Creek Pueblo,1050,1300,250,75
Apollo Mesa,1100,1225,125,
AR-03-06-03-1011,1050,1200,150,
AR-03-06-03-1020,1050,1200,150,
AR-03-06-03-1025,1050,1200,150,
AR-03-06-03-946,1050,1200,150,
AR-03-06-03-947,1050,1200,150,
AR-03-06-05-260,1025,1125,100,
AR-03-06-05-454,750,1125,375,
AR-03-06-05-487,1000,1125,125,
AR-03-06-05-583,1025,1125,100,
AR-03-06-05-589,1000,1125,125,
AR-03-06-05-590,1000,1125,125,
AR-03-06-05-608,1000,1125,125,
AR-03-06-06-1045,750,900,150,
AR-03-06-06-1415,1050,1200,150,
AR-03-06-06-1419,1050,1200,150,
AR-03-06-06-1425,1050,1200,150,
AR-03-06-06-1434,1050,1200,150,
AR-03-06-06-1451,1050,1200,150,
AR-03-06-06-317,1050,1275,225,
AR-03-06-06-378,1050,1200,150,
AR-03-06-09-310a,1050,1200,150,
AR-03-06-09-310b,1050,1300,250,
AR-03-06-09-314,1050,1300,250,
AR-03-06-09-315,1175,1300,125,
AR-03-06-09-320,900,1300,400,
AR-03-06-09-338,1050,1200,150,
AR-03-06-99-238,1000,1300,300,
AR-03-06-99-240,1175,1300,125,
AR-03-06-99-244,1050,1200,150,
AR-03-06-99-246,1050,1300,250,
AR-03-06-99-247,1050,1200,150,
AR-03-06-99-312,1175,1300,125,
Aragon,1100,1200,100,75
Arch Canyon,800,975,175,50
Archeotekopa II,1200,1300,100,1412
Archer Site,600,1000,400,9
Arcillo,1325,1500,175,520
Arenoso,1325,1425,100,1148
Arivechi,1200,1450,250,15
Armer Gulch Ruin,1150,1450,300,34
Arroyo de la Varras,1200,1450,250,250
Arroyo de los Alisos A,900,1450,550,250
Arroyo Hondo,1300,1425,125,1000
Arroyo La Caberna Sta Teresa,700,1150,450,15
Arroyo Negro,950,1150,200,65
Arroyo Nogales,1200,1450,250,250
Artifact Hill,1275,1450,175,8
Ash Terrace,1275,1450,175,38
Astialakwa,1325,1750,425,250
Atil,700,1150,450,15
Atsee Nitsaa,1025,1300,275,50
Atsinna,1200,1400,200,875
Avilas Canyon,900,1125,225,5
Awat'ovi,1375,1450,75,2200
Axtell Ruin,1175,1550,375,250
AZ  K:6:40,1050,1150,100,13
AZ BB:3:22,1275,1450,175,12
AZ C:1:37,1200,1400,200,120
AZ CC:1:3,1275,1450,175,52
AZ CC:1:55,1000,1100,100,4
AZ CC:10:50,900,1125,225,1
AZ CC:10:59,1000,1125,125,1
AZ CC:10:60,1000,1125,125,2
AZ CC:10:61,1000,1125,125,7
AZ CC:10:65,1000,1125,125,1
AZ CC:11:52,1000,1125,125,2
AZ CC:2:185,1275,1450,175,17
AZ CC:2:23(BLM),1275,1425,150,7
AZ CC:2:33(BLM),1275,1450,175,12
AZ D:11:1081,550,1100,550,
AZ D:11:1084,600,1100,500,6
AZ D:11:11,1050,1200,150,
AZ D:11:113 PH1,600,950,350,3
AZ D:11:1153,550,1000,450,11
AZ D:11:1170,550,1200,650,
AZ D:11:15,550,1100,550,
AZ D:11:18,600,1100,500,
AZ D:11:19,1075,1175,100,
AZ D:11:2,1050,1200,150,
AZ D:11:20,1075,1175,100,
AZ D:11:2023 St 1,600,1000,400,3
AZ D:11:2027 St 2,600,950,350,6
AZ D:11:2051 St 5,1150,1225,75,9
AZ D:11:2068 St 4,600,950,350,3
AZ D:11:22,1075,1175,100,
AZ D:11:266,1000,1200,200,
AZ D:11:275,550,1175,625,9
AZ D:11:279,1000,1175,175,
AZ D:11:290,600,1175,575,25
AZ D:11:298,550,1175,625,
AZ D:11:3,1050,1200,150,
AZ D:11:300,825,1300,475,
AZ D:11:324,550,1200,650,3
AZ D:11:325,550,1175,625,
AZ D:11:326,1000,1175,175,
AZ D:11:327,1000,1200,200,
