Site Occupation Location,SubOc1,New Comp,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
1,A,,TF,4,-100,200,300,14.6,730
1,A,,EC,5,200,300,100,16.7,835
1,A,,MC,6,300,450,150,16.7,835
1,A,,LC,7,450,600,150,11.3,565
1,A,,Epi,8,600,850,250,0.3,15
1,A,,EPC,9,850,1150,300,0.1,5
2,A,,EC,5,200,300,100,0.2,10
2,A,,MC,6,300,450,150,0.2,10
3,A,,EC,5,200,300,100,0.2,10
3,A,,MC,6,300,450,150,0.2,10
3,A,,LC,7,450,600,150,0.2,10
3,B,,A,11,1300,1440,140,1.5,75
3,B,,M,12,1440,1520,80,1.5,75
4,A,,EC,5,200,300,100,0.1,5
4,A,,MC,6,300,450,150,0.1,5
4,A,,LC,7,450,600,150,0.1,5
5,A,,TF,4,-100,200,300,0.1,5
5,A,,EC,5,200,300,100,0.1,5
5,B,,LC,7,450,600,150,0.1,5
7,A,,EC,5,200,300,100,1,50
7,A,,MC,6,300,450,150,1,50
7,A,,LC,7,450,600,150,1,50
8,A,,TF,4,-100,200,300,0.9,45
8,A,,EC,5,200,300,100,1.2,60
8,A,,MC,6,300,450,150,0.6,30
8,A,,LC,7,450,600,150,0.3,15
9,A,,TF,4,-100,200,300,0.8,40
9,A,,EC,5,200,300,100,0.8,40
9,A,,MC,6,300,450,150,0.8,40
9,A,,LC,7,450,600,150,0.8,40
10,A,,LC,7,450,600,150,0.1,5
11,A,,MF,2,-1100,-500,600,0.1,5
11,A,,LF,3,-500,-100,400,0.1,5
11,A,,TF,4,-100,200,300,2.1,105
11,A,,EC,5,200,300,100,2.1,105
11,A,,MC,6,300,450,150,2.1,105
11,A,,LC,7,450,600,150,2.1,105
11,A,,Epi,8,600,850,250,2,100
11,A,,EPC,9,850,1150,300,0.1,5
12,A,,LF,3,-500,-100,400,0.1,5
12,A,,TF,4,-100,200,300,8.3,415
12,A,,EC,5,200,300,100,14.6,730
12,A,,MC,6,300,450,150,14.6,730
12,A,,LC,7,450,600,150,6.5,325
12,A,,Epi,8,600,850,250,0.4,20
12,A,,EPC,9,850,1150,300,0.4,20
14,A,,EC,5,200,300,100,0.3,15
14,A,,MC,6,300,450,150,0.3,15
14,A,,LC,7,450,600,150,0.1,5
14,A,799,Epi,8,600,850,250,0.9,45
16,A,,EC,5,200,300,100,0.2,10
16,A,,MC,6,300,450,150,0.2,10
16,B,,P,10,1150,1300,150,0.1,5
16,C,,M,12,1440,1520,80,0.3,15
18,A,,EPC,9,850,1150,300,0.2,10
19,A,,EC,5,200,300,100,0.1,5
19,A,,MC,6,300,450,150,0.1,5
19,A,,LC,7,450,600,150,0.2,10
19,B,,EPC,9,850,1150,300,0.1,5
19,C,,A,11,1300,1440,140,0.2,10
19,C,,M,12,1440,1520,80,0.2,10
21,A,,TF,4,-100,200,300,0.6,30
