"region","npp"
"Basin of Mexico",1246.81122201216
"Basin of Mexico",1289.35876976053
"Basin of Mexico",1331.98167736713
"Basin of Mexico",1145.01559564528
"Basin of Mexico",1174.3423310461
"Basin of Mexico",1237.47350420211
"Basin of Mexico",1313.0464169905
"Basin of Mexico",1039.91411988424
"Basin of Mexico",1056.76076646923
"Basin of Mexico",1060.62784613234
"Basin of Mexico",1107.69381549888
"Basin of Mexico",1204.39809532981
"Basin of Mexico",1287.08552910906
"Basin of Mexico",1022.92142360229
"Basin of Mexico",1058.05064903189
"Basin of Mexico",1041.21518490724
"Basin of Mexico",1004.45681060393
"Basin of Mexico",1008.42797604328
"Basin of Mexico",1078.57271270864
"Basin of Mexico",1191.23500593474
"Basin of Mexico",892.791072488545
"Basin of Mexico",943.930215965141
"Basin of Mexico",1021.60820748806
"Basin of Mexico",1064.48723024009
"Basin of Mexico",1036.00573735444
"Basin of Mexico",971.054320017092
"Basin of Mexico",948.021830374005
"Basin of Mexico",992.495740423101
"Basin of Mexico",1095.08709443862
"Basin of Mexico",1211.5375420968
"Basin of Mexico",881.567796034249
"Basin of Mexico",871.69840445229
"Basin of Mexico",894.189794789217
"Basin of Mexico",941.197941463224
"Basin of Mexico",969.706652709552
"Basin of Mexico",960.24788408191
"Basin of Mexico",917.826523707568
"Basin of Mexico",902.562652838866
"Basin of Mexico",937.092720319841
"Basin of Mexico",1005.78141146554
"Basin of Mexico",1121.46486676931
"Basin of Mexico",888.589328757584
"Basin of Mexico",902.562652838866
"Basin of Mexico",880.160689943293
"Basin of Mexico",858.941594734716
"Basin of Mexico",857.519459857092
"Basin of Mexico",866.038121886729
"Basin of Mexico",874.522913082342
"Basin of Mexico",874.522913082342
"Basin of Mexico",867.454602250272
"Basin of Mexico",868.870142383045
"Basin of Mexico",887.186886512582
"Basin of Mexico",927.482009293864
"Basin of Mexico",1004.45681060393
"Basin of Mexico",1112.71311214832
"Basin of Mexico",888.589328757584
"Basin of Mexico",887.186886512582
"Basin of Mexico",882.973968116887
"Basin of Mexico",870.284742909153
"Basin of Mexico",856.096380368332
"Basin of Mexico",851.82146795886
"Basin of Mexico",841.813493627189
"Basin of Mexico",840.379981913738
"Basin of Mexico",841.813493627189
"Basin of Mexico",843.246053804807
"Basin of Mexico",844.677663078203
"Basin of Mexico",853.247385047272
"Basin of Mexico",868.870142383045
"Basin of Mexico",903.954888963835
"Basin of Mexico",967.008632055151
"Basin of Mexico",1056.76076646923
"Basin of Mexico",1170.70199639999
"Basin of Mexico",1317.52102080266
"Basin of Mexico",950.745048766038
"Basin of Mexico",906.736589413379
"Basin of Mexico",874.522913082342
"Basin of Mexico",863.202337968835
"Basin of Mexico",858.941594734716
"Basin of Mexico",850.394603747091
"Basin of Mexico",840.379981913738
"Basin of Mexico",841.813493627189
"Basin of Mexico",856.096380368332
"Basin of Mexico",858.941594734716
"Basin of Mexico",847.53803143667
"Basin of Mexico",840.379981913738
"Basin of Mexico",841.813493627189
"Basin of Mexico",851.82146795886
"Basin of Mexico",878.75264922363
"Basin of Mexico",948.021830374005
